Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
fda15,9.3,low fat,0.016047301,dairy,249.8092,out049,1999,medium,tier 1,supermarket type1,3735.138
drc01,5.92,regular,0.019278216,soft drinks,48.2692,out018,2009,medium,tier 3,supermarket type2,443.4228
fdn15,17.5,low fat,0.016760075,meat,141.618,out049,1999,medium,tier 1,supermarket type1,2097.27
fdx07,19.2,regular,0.0,fruits and vegetables,182.095,out010,1998,medium,tier 3,grocery store,732.38
ncd19,8.93,low fat,0.0,household,53.8614,out013,1987,high,tier 3,supermarket type1,994.7052
fdp36,10.395,regular,0.0,baking goods,51.4008,out018,2009,medium,tier 3,supermarket type2,556.6088
fdo10,13.65,regular,0.012741088999999999,snack foods,57.6588,out013,1987,high,tier 3,supermarket type1,343.5528
fdp10,12.857645184135976,low fat,0.127469857,snack foods,107.7622,out027,1985,medium,tier 3,supermarket type3,4022.7636
fdh17,16.2,regular,0.016687114,frozen foods,96.9726,out045,2002,medium,tier 2,supermarket type1,1076.5986
fdu28,19.2,regular,0.09444959,frozen foods,187.8214,out017,2007,medium,tier 2,supermarket type1,4710.535
fdy07,11.8,low fat,0.0,fruits and vegetables,45.5402,out049,1999,medium,tier 1,supermarket type1,1516.0266
fda03,18.5,regular,0.045463773,dairy,144.1102,out046,1997,small,tier 1,supermarket type1,2187.153
fdx32,15.1,regular,0.1000135,fruits and vegetables,145.4786,out049,1999,medium,tier 1,supermarket type1,1589.2646
fds46,17.6,regular,0.047257328,snack foods,119.6782,out046,1997,small,tier 1,supermarket type1,2145.2076
fdf32,16.35,low fat,0.06802430000000001,fruits and vegetables,196.4426,out013,1987,high,tier 3,supermarket type1,1977.4260000000002
fdp49,9.0,regular,0.06908896099999999,breakfast,56.3614,out046,1997,small,tier 1,supermarket type1,1547.3192
ncb42,11.8,low fat,0.008596051,health and hygiene,115.3492,out018,2009,medium,tier 3,supermarket type2,1621.8888
fdp49,9.0,regular,0.06919637599999999,breakfast,54.3614,out049,1999,medium,tier 1,supermarket type1,718.3982
dri11,12.857645184135976,low fat,0.034237682,hard drinks,113.2834,out027,1985,medium,tier 3,supermarket type3,2303.6679999999997
fdu02,13.35,low fat,0.10249212,dairy,230.5352,out035,2004,small,tier 2,supermarket type1,2748.4224
fdn22,18.85,regular,0.138190277,snack foods,250.8724,out013,1987,high,tier 3,supermarket type1,3775.086
fdw12,12.857645184135976,regular,0.035399923,baking goods,144.5444,out027,1985,medium,tier 3,supermarket type3,4064.0432
ncb30,14.6,low fat,0.025698133999999997,household,196.5084,out035,2004,small,tier 2,supermarket type1,1587.2672
fdc37,12.857645184135976,low fat,0.057556998,baking goods,107.6938,out019,1985,small,tier 1,grocery store,214.3876
fdr28,13.85,regular,0.025896485,frozen foods,165.021,out046,1997,small,tier 1,supermarket type1,4078.025
ncd06,13.0,low fat,0.099887103,household,45.906000000000006,out017,2007,medium,tier 2,supermarket type1,838.908
fdv10,7.645,regular,0.06669343700000001,snack foods,42.3112,out035,2004,small,tier 2,supermarket type1,1065.28
drj59,11.65,low fat,0.019356131999999998,hard drinks,39.1164,out013,1987,high,tier 3,supermarket type1,308.9312
fde51,5.925,regular,0.161466534,dairy,45.5086,out010,1998,medium,tier 3,grocery store,178.4344
fdc14,12.857645184135976,regular,0.072221801,canned,43.6454,out019,1985,small,tier 1,grocery store,125.8362
