Brand,Style,Country,Stars,Top Ten
New Touch,Cup,Japan,3.75,0
Just Way,Pack,Taiwan,1.0,0
Nissin,Cup,USA,2.25,0
Wei Lih,Pack,Taiwan,2.75,0
Ching's Secret,Pack,India,3.75,0
Samyang Foods,Pack,South Korea,4.75,0
Acecook,Cup,Japan,4.0,0
Ikeda Shoku,Tray,Japan,3.75,0
Ripe'n'Dry,Pack,Japan,0.25,0
KOKA,Pack,Singapore,2.5,0
Tao Kae Noi,Pack,Thailand,5.0,0
Yamachan,Pack,USA,5.0,0
Nongshim,Pack,South Korea,4.25,0
Nissin,Bowl,Japan,4.5,0
Nissin,Pack,Hong Kong,5.0,0
KOKA,Cup,Singapore,3.5,0
TRDP,Pack,India,3.75,0
Yamachan,Pack,USA,5.0,0
Binh Tay,Pack,Vietnam,4.0,0
Paldo,Pack,South Korea,4.0,0
Nissin,Cup,Hong Kong,4.25,0
Jackpot Teriyaki,Pack,USA,5.0,0
KOKA,Cup,Singapore,5.0,0
Yamachan,Pack,USA,4.75,0
Ching's Secret,Pack,India,4.25,0
Samyang Foods,Bowl,South Korea,4.25,0
Yum-Mie,Pack,Ghana,3.5,0
Nissin,Bowl,Japan,4.75,0
MyKuali,Bowl,Malaysia,5.0,0
KOKA,Pack,Singapore,4.0,0
Samyang Foods,Pack,South Korea,5.0,0
Nissin,Pack,Indonesia,4.5,0
Sichuan Guangyou,Bowl,China,4.0,0
New Touch,Bowl,Japan,3.75,0
KOKA,Pack,Singapore,5.0,0
Lipton,Box,USA,1.5,0
KOKA,Cup,Singapore,5.0,0
Acecook,Tray,Japan,1.5,0
Nissin,Cup,USA,5.0,0
Wei Lih,Pack,Taiwan,3.25,0
Nissin,Cup,Hong Kong,3.75,0
Nissin,Cup,USA,5.0,0
Nissin,Cup,Singapore,5.0,0
Lele,Pack,Ghana,3.5,0
Nissin,Cup,USA,5.0,0
Fujiwara,Pack,Japan,4.0,0
Nongshim,Pack,South Korea,5.0,0
Nissin,Bowl,Japan,4.75,0
Uni-President,Pack,China,4.25,0
Ottogi,Pack,South Korea,2.0,0
Maruchan,Bowl,Japan,4.5,0
Prima,Pack,Singapore,5.0,0
Uni-President,Pack,Vietnam,0.0,0
Samyang Foods,Bowl,South Korea,4.5,0
Sokensha,Pack,Japan,3.5,0
Nissin,Pack,Singapore,5.0,0
Nongshim,Pack,South Korea,4.5,0
Takamori,Pack,Japan,5.0,0
Nissin,Pack,Singapore,4.5,0
Nissin,Cup,Singapore,5.0,0
Guava Story,Tray,South Korea,1.0,0
Samurai Ramen,Pack,Japan,4.0,0
Ikeda Shoku,Bowl,Japan,4.5,0
Fujiwara,Pack,Japan,3.5,0
Uni-President,Bowl,Taiwan,5.0,0
Ogasawara,Pack,Japan,4.5,0
Pringles,Can,USA,3.5,0
Mom's Dry Noodle,Pack,Taiwan,5.0,0
Samyang Foods,Bowl,South Korea,5.0,0
MyKuali,Pack,Malaysia,5.0,0
Maggi,Pack,India,3.5,0
Samyang Foods,Pack,South Korea,3.75,0
Indomie,Pack,Indonesia,4.0,0
KOKA,Pack,Singapore,3.75,0
Acecook,Bowl,Japan,3.5,0
Nongshim,Pack,South Korea,3.0,0
Sichuan Guangyou,Bowl,China,0.0,0
Indomie,Pack,Nigeria,1.5,0
Happy Cook,Pack,Taiwan,4.0,0
The Ramen Rater Select,Box,Malaysia,5.0,0
KOKA,Cup,Singapore,5.0,0
Nissin,Pack,Germany,3.75,0
Nissin,Cup,Germany,3.75,0
Nissin,Pack,Germany,4.5,0
Nissin,Cup,Germany,3.75,0
Nissin,Pack,Germany,3.5,0
Nissin,Cup,Germany,3.75,0
Nissin,Pack,Hungary,3.75,0
Nissin,Cup,Germany,5.0,0
Nissin,Pack,Germany,3.5,0
Nissin,Cup,Germany,3.0,0
Nissin,Pack,Germany,3.75,0
Nissin,Cup,Germany,4.5,0
Nissin,Pack,Germany,3.5,0
Nissin,Cup,Germany,3.0,0
Nissin,Pack,Germany,4.0,0
Paldo,Bowl,South Korea,5.0,0
TTL,Pack,Taiwan,4.75,0
Samyang Foods,Cup,South Korea,3.75,0
Acecook,Bowl,Japan,4.25,0
E-Zee,Pack,Malaysia,4.0,0
Kiki Noodle,Pack,Taiwan,5.0,0
Kiki Noodle,Pack,Taiwan,5.0,0
Samyang Foods,Bowl,South Korea,4.0,0
Maruchan,Bowl,Japan,4.75,0
Ottogi,Pack,South Korea,4.25,0
Tokyo Noodle,Pack,Japan,2.0,0
GGE,Pack,Taiwan,3.5,0
Nissin,Cup,Hong Kong,5.0,0
Myojo,Pack,USA,3.75,0
KOKA,Cup,Singapore,3.5,0
Acecook,Cup,Japan,4.25,0
Paldo,Pack,South Korea,3.5,0
Sau Tao,Pack,Hong Kong,4.0,0
Nissin,Cup,China,3.75,0
Wang,Bowl,South Korea,2.0,0
Nissin,Pack,Indonesia,3.25,0
TTL,Bowl,Taiwan,5.0,0
Fujiwara,Pack,Japan,4.5,0
Daifuku,Bowl,USA,5.0,0
Nissin,Pack,Japan,3.5,0
KOKA,Pack,Singapore,3.5,0
KOKA,Pack,Singapore,4.25,0
KOKA,Cup,Singapore,5.0,0
KOKA,Bowl,Singapore,3.25,0
KOKA,Pack,Singapore,4.5,0
KOKA,Bowl,Singapore,5.0,0
KOKA,Pack,Singapore,5.0,0
KOKA,Pack,Singapore,4.0,0
KOKA,Pack,Singapore,5.0,0
KOKA,Cup,Singapore,3.5,0
KOKA,Pack,Singapore,3.0,0
KOKA,Cup,Singapore,5.0,0
