Brand,Style,Country,Stars
New Touch,Cup,Japan,3.75
Just Way,Pack,Taiwan,1.0
Nissin,Cup,USA,2.25
Wei Lih,Pack,Taiwan,2.75
Ching's Secret,Pack,India,3.75
Samyang Foods,Pack,South Korea,4.75
Acecook,Cup,Japan,4.0
Ikeda Shoku,Tray,Japan,3.75
Ripe'n'Dry,Pack,Japan,0.25
KOKA,Pack,Singapore,2.5
Tao Kae Noi,Pack,Thailand,5.0
Yamachan,Pack,USA,5.0
Nongshim,Pack,South Korea,4.25
Nissin,Bowl,Japan,4.5
Nissin,Pack,Hong Kong,5.0
KOKA,Cup,Singapore,3.5
TRDP,Pack,India,3.75
Yamachan,Pack,USA,5.0
Binh Tay,Pack,Vietnam,4.0
Paldo,Pack,South Korea,4.0
Nissin,Cup,Hong Kong,4.25
Jackpot Teriyaki,Pack,USA,5.0
KOKA,Cup,Singapore,5.0
Yamachan,Pack,USA,4.75
Ching's Secret,Pack,India,4.25
Samyang Foods,Bowl,South Korea,4.25
Yum-Mie,Pack,Ghana,3.5
Nissin,Bowl,Japan,4.75
MyKuali,Bowl,Malaysia,5.0
KOKA,Pack,Singapore,4.0
Samyang Foods,Pack,South Korea,5.0
Nissin,Pack,Indonesia,4.5
Sichuan Guangyou,Bowl,China,4.0
New Touch,Bowl,Japan,3.75
KOKA,Pack,Singapore,5.0
Lipton,Box,USA,1.5
KOKA,Cup,Singapore,5.0
Acecook,Tray,Japan,1.5
Nissin,Cup,USA,5.0
Wei Lih,Pack,Taiwan,3.25
Nissin,Cup,Hong Kong,3.75
Nissin,Cup,USA,5.0
Nissin,Cup,Singapore,5.0
Lele,Pack,Ghana,3.5
Nissin,Cup,USA,5.0
Fujiwara,Pack,Japan,4.0
Nongshim,Pack,South Korea,5.0
Nissin,Bowl,Japan,4.75
Uni-President,Pack,China,4.25
Ottogi,Pack,South Korea,2.0
Maruchan,Bowl,Japan,4.5
Prima,Pack,Singapore,5.0
Uni-President,Pack,Vietnam,0.0
Samyang Foods,Bowl,South Korea,4.5
Sokensha,Pack,Japan,3.5
Nissin,Pack,Singapore,5.0
Nongshim,Pack,South Korea,4.5
Takamori,Pack,Japan,5.0
Nissin,Pack,Singapore,4.5
Nissin,Cup,Singapore,5.0
Guava Story,Tray,South Korea,1.0
Samurai Ramen,Pack,Japan,4.0
Ikeda Shoku,Bowl,Japan,4.5
Fujiwara,Pack,Japan,3.5
Uni-President,Bowl,Taiwan,5.0
Ogasawara,Pack,Japan,4.5
Pringles,Can,USA,3.5
Mom's Dry Noodle,Pack,Taiwan,5.0
Samyang Foods,Bowl,South Korea,5.0
MyKuali,Pack,Malaysia,5.0
Maggi,Pack,India,3.5
Samyang Foods,Pack,South Korea,3.75
Indomie,Pack,Indonesia,4.0
KOKA,Pack,Singapore,3.75
Acecook,Bowl,Japan,3.5
Nongshim,Pack,South Korea,3.0
Sichuan Guangyou,Bowl,China,0.0
Indomie,Pack,Nigeria,1.5
Happy Cook,Pack,Taiwan,4.0
The Ramen Rater Select,Box,Malaysia,5.0
KOKA,Cup,Singapore,5.0
Nissin,Pack,Germany,3.75
Nissin,Cup,Germany,3.75
Nissin,Pack,Germany,4.5
Nissin,Cup,Germany,3.75
Nissin,Pack,Germany,3.5
Nissin,Cup,Germany,3.75
Nissin,Pack,Hungary,3.75
Nissin,Cup,Germany,5.0
Nissin,Pack,Germany,3.5
Nissin,Cup,Germany,3.0
Nissin,Pack,Germany,3.75
Nissin,Cup,Germany,4.5
Nissin,Pack,Germany,3.5
Nissin,Cup,Germany,3.0
Nissin,Pack,Germany,4.0
Paldo,Bowl,South Korea,5.0
TTL,Pack,Taiwan,4.75
Samyang Foods,Cup,South Korea,3.75
Acecook,Bowl,Japan,4.25
E-Zee,Pack,Malaysia,4.0
Kiki Noodle,Pack,Taiwan,5.0
Kiki Noodle,Pack,Taiwan,5.0
Samyang Foods,Bowl,South Korea,4.0
Maruchan,Bowl,Japan,4.75
Ottogi,Pack,South Korea,4.25
Tokyo Noodle,Pack,Japan,2.0
GGE,Pack,Taiwan,3.5
Nissin,Cup,Hong Kong,5.0
Myojo,Pack,USA,3.75
KOKA,Cup,Singapore,3.5
Acecook,Cup,Japan,4.25
Paldo,Pack,South Korea,3.5
Sau Tao,Pack,Hong Kong,4.0
Nissin,Cup,China,3.75
Wang,Bowl,South Korea,2.0
Nissin,Pack,Indonesia,3.25
TTL,Bowl,Taiwan,5.0
Fujiwara,Pack,Japan,4.5
Daifuku,Bowl,USA,5.0
Nissin,Pack,Japan,3.5
KOKA,Pack,Singapore,3.5
KOKA,Pack,Singapore,4.25
KOKA,Cup,Singapore,5.0
KOKA,Bowl,Singapore,3.25
KOKA,Pack,Singapore,4.5
KOKA,Bowl,Singapore,5.0
KOKA,Pack,Singapore,5.0
KOKA,Pack,Singapore,4.0
KOKA,Pack,Singapore,5.0
KOKA,Cup,Singapore,3.5
KOKA,Pack,Singapore,3.0
KOKA,Cup,Singapore,5.0
KOKA,Pack,Singapore,4.25
KOKA,Bowl,Singapore,5.0
KOKA,Cup,Singapore,3.75
Nissin,Cup,Mexico,3.5
MyKuali,Box,Japan,5.0
Master Kong,Pack,China,4.5
Uni-President,Bowl,Taiwan,5.0
World O' Noodle,Pack,Indonesia,5.0
Nissin,Bowl,Japan,4.5
Kang Shi Fu,Pack,Hong Kong,4.75
Mum Ngon,Pack,Vietnam,3.5
Happy Cook,Pack,Taiwan,4.25
Nissin,Cup,Japan,3.75
Fashion Food,Bowl,Thailand,3.5
Dream Kitchen,Bowl,USA,3.75
MyKuali,Pack,Malaysia,5.0
New Touch,Cup,Japan,4.0
TTL,Bowl,Taiwan,5.0
Ajinatori,Pack,Japan,2.5
Dr. McDougall's,Cup,USA,0.0
Nissin,Cup,Hong Kong,5.0
Samyang Foods,Pack,South Korea,3.75
Ve Wong,Pack,Taiwan,3.5
Nissin,Cup,Mexico,3.25
Uni-President,Pack,Taiwan,5.0
Nissin,Cup,China,3.75
MyKuali,Box,Japan,5.0
Myojo,Tray,Japan,4.5
Super Bihun,Pack,Indonesia,3.75
Xiuhe,Bowl,China,4.25
Nissin,Bowl,Japan,5.0
Little Cook,Bowl,Taiwan,5.0
Nissin,Cup,Hong Kong,2.5
Shirakiku,Pack,USA,3.25
Mama Pat's,Pack,USA,3.75
Mama Pat's,Pack,USA,3.75
Mama Pat's,Pack,USA,3.5
Mama Pat's,Pack,USA,3.75
Just Way,Pack,Taiwan,4.5
Sichuan Guangyou,Pack,China,0.25
Nissin,Cup,Hong Kong,4.0
MyKuali,Pack,Singapore,5.0
Goku-Uma,Bowl,USA,4.75
Maggi,Pack,India,3.75
Sichuan Baijia,Bowl,China,5.0
Nissin,Cup,Singapore,5.0
Indomie,Pack,Indonesia,4.0
Liang Cheng Mai,Tray,China,1.0
Samyang Foods,Bowl,South Korea,4.0
Maggi,Pack,Fiji,3.25
Master Kong,Pack,China,4.25
Nissin,Cup,Hong Kong,3.75
Ripe'n'Dry,Pack,Japan,3.0
MyKuali,Bowl,Malaysia,5.0
Ottogi,Pack,South Korea,5.0
Nissin,Cup,Hong Kong,3.75
